Time,Position,Level,Experience,Technology,Location,Way_of_working,Employees_number,Salary_type,Salary
2023-01-23 02:37:04.067,Frontend Developer,Junior,0-1 Yıl,React / NextJS,Türkiye,Remote,0-10,Türk Lirası,5000 - 10.000 TL
2023-01-23 02:39:38.056,Fullstack Developer,Mid,1-3 Yıl,"Javascript, PHP / Laravel",Türkiye,Hybrid,100-300,Türk Lirası,26.000 - 30.000 TL
2023-01-23 02:41:24.400,Qa,Mid,1-3 Yıl,"Java / Spring, Java, Selenium ",Türkiye,Hybrid,2000+,Türk Lirası,21.000 - 25.000 TL
2023-01-23 02:45:12.184,Backend Developer,Junior,0-1 Yıl,Python,Türkiye,Remote,10-30,Türk Lirası,5000 - 10.000 TL
2023-01-23 02:49:01.717,Yönetici / Müdür,Senior,10+ Yıl,Swift,Türkiye,Remote,30-50,Türk Lirası,51.000 - 55.000 TL
2023-01-23 02:52:11.783,Fullstack Developer,Junior,0-1 Yıl,"Angular, C# / .NET Framework",Türkiye,Remote,50-100,Türk Lirası,5000 - 10.000 TL
2023-01-23 02:55:16.798,Frontend Developer,Junior,0-1 Yıl,C# / .NET Framework,Türkiye,Remote,0-10,Türk Lirası,11.000 - 15.000 TL
2023-01-23 02:55:42.106,Fullstack Developer,Mid,4-6 Yıl,"React / NextJS, Angular, Vue, Javascript, C# / .NET Framework",Türkiye,Hybrid,300-1000,Türk Lirası,36.000 - 40.000 TL
2023-01-23 03:02:33.139,Mobile Developer,Junior,1-3 Yıl,Flutter,Türkiye,Hybrid,10-30,Türk Lirası,16.000 - 20.000 TL
2023-01-23 03:03:28.605,Backend Developer,Junior,0-1 Yıl,PHP / Laravel,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,5000 - 10.000 TL
2023-01-23 03:29:21.200,Data Analyst,Junior,0-1 Yıl,Python ,Türkiye,Remote,30-50,Türk Lirası,31.000 - 35.000 TL
2023-01-23 03:34:19.955,Fullstack Developer,Junior,0-1 Yıl,"Angular, Java / Spring",Türkiye,Yerinde / Ofiste,100-300,Türk Lirası,16.000 - 20.000 TL
2023-01-23 03:36:00.400,Backend Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Remote,100-300,Türk Lirası,36.000 - 40.000 TL
